,date,lat,long,Parameter Name,mean_ozone
0,2021-01-01,34.1326,-118.1272,Ozone,0.021083
25,2021-01-02,34.1326,-118.1272,Ozone,0.015167
39,2021-01-03,34.1326,-118.1272,Ozone,0.017353
53,2021-01-04,34.1326,-118.1272,Ozone,0.014588
78,2021-01-05,34.1326,-118.1272,Ozone,0.010353
93,2021-01-06,34.1326,-118.1272,Ozone,0.012529
107,2021-01-07,34.1326,-118.1272,Ozone,0.010625
132,2021-01-08,34.1326,-118.1272,Ozone,0.012542
146,2021-01-09,34.1326,-118.1272,Ozone,0.013667
164,2021-01-10,34.1326,-118.1272,Ozone,0.020958
185,2021-01-11,34.1326,-118.1272,Ozone,0.017208
199,2021-01-12,34.1326,-118.1272,Ozone,0.0135
217,2021-01-13,34.1326,-118.1272,Ozone,0.01175
238,2021-01-14,34.1326,-118.1272,Ozone,0.016167
252,2021-01-15,34.1326,-118.1272,Ozone,0.020824
270,2021-01-16,34.1326,-118.1272,Ozone,0.01925
291,2021-01-17,34.1326,-118.1272,Ozone,0.024375
305,2021-01-18,34.1326,-118.1272,Ozone,0.02
323,2021-01-19,34.1326,-118.1272,Ozone,0.03275
344,2021-01-20,34.1326,-118.1272,Ozone,0.024667
358,2021-01-21,34.1326,-118.1272,Ozone,0.020667
373,2021-01-22,34.1326,-118.1272,Ozone,0.023
397,2021-01-23,34.1326,-118.1272,Ozone,0.020667
411,2021-01-24,34.1326,-118.1272,Ozone,0.021792
427,2021-01-25,34.1326,-118.1272,Ozone,0.03175
450,2021-01-26,34.1326,-118.1272,Ozone,0.024167
464,2021-01-27,34.1326,-118.1272,Ozone,0.025667
479,2021-01-28,34.1326,-118.1272,Ozone,0.025208
512,2021-01-29,34.1326,-118.1272,Ozone,0.019941
517,2021-01-30,34.1326,-118.1272,Ozone,0.02
532,2021-01-31,34.1326,-118.1272,Ozone,0.019583
556,2021-02-01,34.1326,-118.1272,Ozone,0.012667
570,2021-02-02,34.1326,-118.1272,Ozone,0.014542
586,2021-02-03,34.1326,-118.1272,Ozone,0.014083
609,2021-02-04,34.1326,-118.1272,Ozone,0.020292
