system:index,date,hchovcd,lat,long,.geo
20210704T041546_20210708T044334,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T055716_20210708T050751,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T073846_20210708T051356,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T092015_20210708T074354,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T110145_20210708T213945,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T124315_20210708T113705,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T142445_20210708T192437,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T160614_20210708T154944,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T174744_20210708T155050,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T192914_20210708T155849,2021-07-04,-6.768087041566233E-5,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T211044_20210708T160219,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T225214_20210709T062441,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T003343_20210709T124539,2021-07-05,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T021513_20210709T145048,2021-07-05,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T035643_20210709T155823,2021-07-05,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T053812_20210709T160223,2021-07-05,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T071942_20210709T184201,2021-07-05,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T090112_20210709T185921,2021-07-05,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T104242_20210710T040844,2021-07-05,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T122412_20210710T114531,2021-07-05,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T140541_20210710T171711,2021-07-05,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T154711_20210710T193555,2021-07-05,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T172841_20210710T222153,2021-07-05,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T191011_20210711T004426,2021-07-05,1.2489070026385749E-4,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T205140_20210711T035521,2021-07-05,-1.7690386448526257E-4,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T223310_20210711T065537,2021-07-05,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T001440_20210711T092141,2021-07-06,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T015610_20210711T094320,2021-07-06,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T033739_20210711T124812,2021-07-06,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T051909_20210711T155908,2021-07-06,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T070039_20210708T120327,2021-07-06,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T084209_20210708T121723,2021-07-06,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T102339_20210712T000741,2021-07-06,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T120508_20210712T013026,2021-07-06,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T134638_20210712T014851,2021-07-06,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T152808_20210708T185323,2021-07-06,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T170937_20210708T191550,2021-07-06,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T185107_20210708T210836,2021-07-06,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T203237_20210708T232123,2021-07-06,-1.6402400364580737E-4,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T221407_20210708T232242,2021-07-06,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706T235537_20210709T015733,2021-07-07,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T013706_20210709T041416,2021-07-07,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T031836_20210709T070059,2021-07-07,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T050006_20210709T075554,2021-07-07,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T064135_20210709T080211,2021-07-07,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T082305_20210709T091806,2021-07-07,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T100435_20210709T094853,2021-07-07,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T114605_20210712T215736,2021-07-07,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T132735_20210713T051412,2021-07-07,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T150904_20210713T052048,2021-07-07,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T165034_20210712T050750,2021-07-07,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T183204_20210712T065000,2021-07-07,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T201333_20210709T163530,2021-07-07,-3.002323501278579E-4,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T215503_20210713T163600,2021-07-07,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707T233633_20210709T185127,2021-07-07,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T011803_20210709T190612,2021-07-08,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T094532_20210710T033859,2021-07-08,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T112701_20210710T050240,2021-07-08,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T130831_20210710T065619,2021-07-08,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T145001_20210710T080845,2021-07-08,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T163130_20210710T102505,2021-07-08,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T181300_20210710T113112,2021-07-08,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T195430_20210710T141549,2021-07-08,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T213600_20210710T144255,2021-07-08,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T231729_20210710T164622,2021-07-08,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210709T005859_20210710T193040,2021-07-09,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210710T104854_20210712T154045,2021-07-10,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210710T123024_20210712T190932,2021-07-10,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210710T141153_20210712T213620,2021-07-10,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210710T155323_20210713T045952,2021-07-10,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210710T173453_20210713T121203,2021-07-10,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210710T205752_20210712T140738,2021-07-10,1.460807397962037E-4,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210710T223922_20210712T152317,2021-07-10,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210711T002052_20210712T172936,2021-07-11,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
