,date,lat,long,Parameter Name,mean_ozone
2871,2022-04-14,34.276316,-118.683685,Ozone,0.04015
2897,2022-04-15,34.276316,-118.683685,Ozone,0.036882
2921,2022-04-16,34.276316,-118.683685,Ozone,0.031409
2945,2022-04-17,34.276316,-118.683685,Ozone,0.033136
2969,2022-04-18,34.276316,-118.683685,Ozone,0.035045
2993,2022-04-19,34.276316,-118.683685,Ozone,0.030955
3017,2022-04-20,34.276316,-118.683685,Ozone,0.037591
3041,2022-04-21,34.276316,-118.683685,Ozone,0.032
3065,2022-04-22,34.276316,-118.683685,Ozone,0.037636
3119,2022-04-23,34.276316,-118.683685,Ozone,0.045136
3158,2022-04-24,34.276316,-118.683685,Ozone,0.044409
3182,2022-04-25,34.276316,-118.683685,Ozone,0.046136
3206,2022-04-26,34.276316,-118.683685,Ozone,0.046636
3230,2022-04-27,34.276316,-118.683685,Ozone,0.0455
3256,2022-04-28,34.276316,-118.683685,Ozone,0.042318
3279,2022-04-29,34.276316,-118.683685,Ozone,0.041091
3301,2022-04-30,34.276316,-118.683685,Ozone,0.0485
3325,2022-05-01,34.276316,-118.683685,Ozone,0.043318
3349,2022-05-02,34.276316,-118.683685,Ozone,0.041455
3373,2022-05-03,34.276316,-118.683685,Ozone,0.045227
3398,2022-05-04,34.276316,-118.683685,Ozone,0.043364
3458,2022-05-05,34.276316,-118.683685,Ozone,0.043773
3494,2022-05-06,34.276316,-118.683685,Ozone,0.039182
3518,2022-05-07,34.276316,-118.683685,Ozone,0.037955
3542,2022-05-08,34.276316,-118.683685,Ozone,0.038091
3566,2022-05-09,34.276316,-118.683685,Ozone,0.041636
3587,2022-05-10,34.276316,-118.683685,Ozone,0.033318
3611,2022-05-11,34.276316,-118.683685,Ozone,0.042909
3635,2022-05-12,34.276316,-118.683685,Ozone,0.0485
3659,2022-05-13,34.276316,-118.683685,Ozone,0.045182
3684,2022-05-14,34.276316,-118.683685,Ozone,0.053739
3710,2022-05-15,34.276316,-118.683685,Ozone,0.047087
3734,2022-05-16,34.276316,-118.683685,Ozone,0.035565
3798,2022-05-17,34.276316,-118.683685,Ozone,0.039706
3828,2022-05-18,34.276316,-118.683685,Ozone,0.043435
3852,2022-05-19,34.276316,-118.683685,Ozone,0.042435
3877,2022-05-20,34.276316,-118.683685,Ozone,0.044391
3896,2022-05-21,34.276316,-118.683685,Ozone,0.037478
3915,2022-05-22,34.276316,-118.683685,Ozone,0.037174
3935,2022-05-23,34.276316,-118.683685,Ozone,0.04
3959,2022-05-24,34.276316,-118.683685,Ozone,0.046
3983,2022-05-25,34.276316,-118.683685,Ozone,0.044217
4007,2022-05-26,34.276316,-118.683685,Ozone,0.039304
4011,2022-05-27,34.276316,-118.683685,Ozone,0.03687
4033,2022-05-28,34.276316,-118.683685,Ozone,0.032
4070,2022-05-29,34.276316,-118.683685,Ozone,0.028522
4138,2022-05-30,34.276316,-118.683685,Ozone,0.033304
4162,2022-05-31,34.276316,-118.683685,Ozone,0.033957
4186,2022-06-01,34.276316,-118.683685,Ozone,0.041826
4210,2022-06-02,34.276316,-118.683685,Ozone,0.041913
4235,2022-06-03,34.276316,-118.683685,Ozone,0.036609
4259,2022-06-04,34.276316,-118.683685,Ozone,0.038696
4283,2022-06-05,34.276316,-118.683685,Ozone,0.033609
4307,2022-06-06,34.276316,-118.683685,Ozone,0.030652
4332,2022-06-07,34.276316,-118.683685,Ozone,0.034565
4356,2022-06-08,34.276316,-118.683685,Ozone,0.040435
4379,2022-06-09,34.276316,-118.683685,Ozone,0.048217
4443,2022-06-10,34.276316,-118.683685,Ozone,0.05513
4473,2022-06-11,34.276316,-118.683685,Ozone,0.045174
4497,2022-06-12,34.276316,-118.683685,Ozone,0.039826
4522,2022-06-13,34.276316,-118.683685,Ozone,0.033609
4548,2022-06-14,34.276316,-118.683685,Ozone,0.037043
4572,2022-06-15,34.276316,-118.683685,Ozone,0.044304
4596,2022-06-16,34.276316,-118.683685,Ozone,0.046652
4620,2022-06-17,34.276316,-118.683685,Ozone,0.04113
4644,2022-06-18,34.276316,-118.683685,Ozone,0.036176
4665,2022-06-19,34.276316,-118.683685,Ozone,0.040304
4689,2022-06-20,34.276316,-118.683685,Ozone,0.053435
4715,2022-06-21,34.276316,-118.683685,Ozone,0.04787
4773,2022-06-22,34.276316,-118.683685,Ozone,0.040913
4810,2022-06-23,34.276316,-118.683685,Ozone,0.041174
4834,2022-06-24,34.276316,-118.683685,Ozone,0.04287
4858,2022-06-25,34.276316,-118.683685,Ozone,0.039783
4880,2022-06-26,34.276316,-118.683685,Ozone,0.044652
4904,2022-06-27,34.276316,-118.683685,Ozone,0.051174
4928,2022-06-28,34.276316,-118.683685,Ozone,0.047783
4951,2022-06-29,34.276316,-118.683685,Ozone,0.049565
4976,2022-06-30,34.276316,-118.683685,Ozone,0.044478
5000,2022-07-01,34.276316,-118.683685,Ozone,0.041957
5024,2022-07-02,34.276316,-118.683685,Ozone,0.033348
5048,2022-07-03,34.276316,-118.683685,Ozone,0.030478
5108,2022-07-04,34.276316,-118.683685,Ozone,0.034348
5144,2022-07-05,34.276316,-118.683685,Ozone,0.029348
5167,2022-07-06,34.276316,-118.683685,Ozone,0.020913
5191,2022-07-07,34.276316,-118.683685,Ozone,0.027652
5215,2022-07-08,34.276316,-118.683685,Ozone,0.032783
5236,2022-07-09,34.276316,-118.683685,Ozone,0.034174
5260,2022-07-10,34.276316,-118.683685,Ozone,0.039043
5284,2022-07-11,34.276316,-118.683685,Ozone,0.032565
5308,2022-07-12,34.276316,-118.683685,Ozone,0.032043
5333,2022-07-13,34.276316,-118.683685,Ozone,0.031304
5358,2022-07-14,34.276316,-118.683685,Ozone,0.031522
5382,2022-07-15,34.276316,-118.683685,Ozone,0.041478
5426,2022-07-16,34.276316,-118.683685,Ozone,0.040826
5453,2022-07-17,34.276316,-118.683685,Ozone,0.041043
5477,2022-07-18,34.276316,-118.683685,Ozone,0.041522
5500,2022-07-19,34.276316,-118.683685,Ozone,0.035957
5524,2022-07-20,34.276316,-118.683685,Ozone,0.036478
