system:index,date,lat,long,tmax,.geo
20210101,2021-01-01,34.181977,-118.363036,19.950000762939453,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102,2021-01-02,34.181977,-118.363036,18.489999771118164,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103,2021-01-03,34.181977,-118.363036,17.770000457763672,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104,2021-01-04,34.181977,-118.363036,19.3799991607666,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105,2021-01-05,34.181977,-118.363036,21.15999984741211,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106,2021-01-06,34.181977,-118.363036,23.90999984741211,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107,2021-01-07,34.181977,-118.363036,23.799999237060547,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108,2021-01-08,34.181977,-118.363036,23.81999969482422,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109,2021-01-09,34.181977,-118.363036,22.950000762939453,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110,2021-01-10,34.181977,-118.363036,22.639999389648438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111,2021-01-11,34.181977,-118.363036,23.200000762939453,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112,2021-01-12,34.181977,-118.363036,22.81999969482422,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113,2021-01-13,34.181977,-118.363036,26.510000228881836,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114,2021-01-14,34.181977,-118.363036,30.729999542236328,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115,2021-01-15,34.181977,-118.363036,32.029998779296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116,2021-01-16,34.181977,-118.363036,30.6200008392334,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210117,2021-01-17,34.181977,-118.363036,29.389999389648438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210118,2021-01-18,34.181977,-118.363036,25.68000030517578,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210119,2021-01-19,34.181977,-118.363036,21.440000534057617,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210120,2021-01-20,34.181977,-118.363036,23.760000228881836,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210121,2021-01-21,34.181977,-118.363036,21.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210122,2021-01-22,34.181977,-118.363036,15.630000114440918,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210123,2021-01-23,34.181977,-118.363036,12.649999618530273,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210124,2021-01-24,34.181977,-118.363036,14.380000114440918,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210125,2021-01-25,34.181977,-118.363036,12.5600004196167,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210126,2021-01-26,34.181977,-118.363036,13.579999923706055,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210127,2021-01-27,34.181977,-118.363036,14.789999961853027,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210128,2021-01-28,34.181977,-118.363036,15.670000076293945,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210129,2021-01-29,34.181977,-118.363036,13.609999656677246,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210130,2021-01-30,34.181977,-118.363036,18.079999923706055,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210131,2021-01-31,34.181977,-118.363036,20.959999084472656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210201,2021-02-01,34.181977,-118.363036,22.729999542236328,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210202,2021-02-02,34.181977,-118.363036,22.399999618530273,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210203,2021-02-03,34.181977,-118.363036,20.540000915527344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210204,2021-02-04,34.181977,-118.363036,20.860000610351562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210205,2021-02-05,34.181977,-118.363036,23.959999084472656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210206,2021-02-06,34.181977,-118.363036,24.969999313354492,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210207,2021-02-07,34.181977,-118.363036,21.93000030517578,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210208,2021-02-08,34.181977,-118.363036,18.56999969482422,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210209,2021-02-09,34.181977,-118.363036,16.600000381469727,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210210,2021-02-10,34.181977,-118.363036,18.299999237060547,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210211,2021-02-11,34.181977,-118.363036,20.639999389648438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210212,2021-02-12,34.181977,-118.363036,20.1299991607666,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210213,2021-02-13,34.181977,-118.363036,19.239999771118164,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210214,2021-02-14,34.181977,-118.363036,19.479999542236328,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210215,2021-02-15,34.181977,-118.363036,19.56999969482422,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210216,2021-02-16,34.181977,-118.363036,20.760000228881836,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210217,2021-02-17,34.181977,-118.363036,20.600000381469727,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210218,2021-02-18,34.181977,-118.363036,21.40999984741211,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210219,2021-02-19,34.181977,-118.363036,21.829999923706055,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210220,2021-02-20,34.181977,-118.363036,19.950000762939453,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210221,2021-02-21,34.181977,-118.363036,24.770000457763672,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210222,2021-02-22,34.181977,-118.363036,27.309999465942383,"{""type"":""MultiPoint"",""coordinates"":[]}"
