system:index,date,lat,long,prcp,.geo
20210101,2021-01-01,34.1326,-118.1272,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102,2021-01-02,34.1326,-118.1272,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103,2021-01-03,34.1326,-118.1272,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104,2021-01-04,34.1326,-118.1272,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105,2021-01-05,34.1326,-118.1272,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106,2021-01-06,34.1326,-118.1272,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107,2021-01-07,34.1326,-118.1272,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108,2021-01-08,34.1326,-118.1272,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109,2021-01-09,34.1326,-118.1272,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110,2021-01-10,34.1326,-118.1272,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111,2021-01-11,34.1326,-118.1272,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112,2021-01-12,34.1326,-118.1272,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113,2021-01-13,34.1326,-118.1272,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114,2021-01-14,34.1326,-118.1272,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115,2021-01-15,34.1326,-118.1272,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116,2021-01-16,34.1326,-118.1272,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210117,2021-01-17,34.1326,-118.1272,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210118,2021-01-18,34.1326,-118.1272,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210119,2021-01-19,34.1326,-118.1272,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210120,2021-01-20,34.1326,-118.1272,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210121,2021-01-21,34.1326,-118.1272,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210122,2021-01-22,34.1326,-118.1272,2.3299999237060547,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210123,2021-01-23,34.1326,-118.1272,9.760000228881836,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210124,2021-01-24,34.1326,-118.1272,6.03000020980835,"{""type"":""MultiPoint"",""coordinates"":[]}"
