system:index,date,lat,long,vcd,.geo
20210104T154706_20210106T091607,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T172836_20210106T110640,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T191006_20210106T123751,2021-01-04,34.1326,-118.1272,0.134626299142673,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T205136_20210106T134921,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T223306_20210106T154647,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T001436_20210106T172254,2021-01-05,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T015606_20210106T190751,2021-01-05,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T033736_20210106T204117,2021-01-05,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T051906_20210106T224627,2021-01-05,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T070036_20210107T001402,2021-01-05,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T084206_20210107T020847,2021-01-05,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T102336_20210107T035453,2021-01-05,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T120506_20210107T061623,2021-01-05,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T134636_20210107T071540,2021-01-05,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T152806_20210107T083941,2021-01-05,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T170936_20210107T205309,2021-01-05,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T185106_20210107T160014,2021-01-05,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T203236_20210107T134400,2021-01-05,34.1326,-118.1272,0.13710530102236204,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T221406_20210107T154755,2021-01-05,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105T235536_20210107T164845,2021-01-06,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106T013706_20210107T183117,2021-01-06,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
